pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
7vxf,pdb/surface_glycoprotein/SARS-CoV-2/7vxf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7vxf,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7fg2,pdb/surface_glycoprotein/SARS-CoV-2/7fg2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7fg2,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.4,,,
7vx5,pdb/surface_glycoprotein/SARS-CoV-2/7vx5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7vx5,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.8,,,
7ej4,pdb/surface_glycoprotein/SARS-CoV-2/7ej4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ej4,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7cot,pdb/surface_glycoprotein/SARS-CoV-2/7cot,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cot,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.16,,0.1967,0.2466
7lwn,pdb/surface_glycoprotein/SARS-CoV-2/7lwn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lwn,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.94,,,
7edf,pdb/surface_glycoprotein/SARS-CoV-2/7edf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7edf,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7e23,pdb/surface_glycoprotein/SARS-CoV-2/7e23,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7e23,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7lo4,pdb/surface_glycoprotein/SARS-CoV-2/7lo4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lo4,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.46,,0.1928,0.2514
7e5y,pdb/surface_glycoprotein/SARS-CoV-2/7e5y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7e5y,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.59,,0.2317,0.2765
7nxa,pdb/surface_glycoprotein/SARS-CoV-2/7nxa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7nxa,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.2054,0.2525
7s0c,pdb/surface_glycoprotein/SARS-CoV-2/7s0c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7s0c,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.25,,,
7mte,pdb/surface_glycoprotein/SARS-CoV-2/7mte,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7mte,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7e8c,pdb/surface_glycoprotein/SARS-CoV-2/7e8c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7e8c,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.16,,,
7ey0,pdb/surface_glycoprotein/SARS-CoV-2/7ey0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ey0,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7v84,pdb/surface_glycoprotein/SARS-CoV-2/7v84,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v84,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7nta,pdb/surface_glycoprotein/SARS-CoV-2/7nta,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7nta,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
6x45,pdb/surface_glycoprotein/SARS-CoV-2/6x45,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6x45,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.2429,0.2784
7rku,pdb/surface_glycoprotein/SARS-CoV-2/7rku,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7rku,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.2,,0.1876,0.2311
7lym,pdb/surface_glycoprotein/SARS-CoV-2/7lym,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lym,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.57,,,
7lwt,pdb/surface_glycoprotein/SARS-CoV-2/7lwt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lwt,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.19,,,
7p77,pdb/surface_glycoprotein/SARS-CoV-2/7p77,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7p77,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.98,,,
7lx5,pdb/surface_glycoprotein/SARS-CoV-2/7lx5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lx5,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.44,,,
7lrt,pdb/surface_glycoprotein/SARS-CoV-2/7lrt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lrt,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.54,,,
7ra8,pdb/surface_glycoprotein/SARS-CoV-2/7ra8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ra8,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7k9k,pdb/surface_glycoprotein/SARS-CoV-2/7k9k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k9k,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.14,,,
7lws,pdb/surface_glycoprotein/SARS-CoV-2/7lws,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lws,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.22,,,
7p40,pdb/surface_glycoprotein/SARS-CoV-2/7p40,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7p40,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
7v7i,pdb/surface_glycoprotein/SARS-CoV-2/7v7i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7i,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7dx7,pdb/surface_glycoprotein/SARS-CoV-2/7dx7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dx7,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7m8j,pdb/surface_glycoprotein/SARS-CoV-2/7m8j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7m8j,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.48,,,
7v8a,pdb/surface_glycoprotein/SARS-CoV-2/7v8a,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v8a,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.7,,,
7e9t,pdb/surface_glycoprotein/SARS-CoV-2/7e9t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7e9t,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,10.9,,,
7n0h,pdb/surface_glycoprotein/SARS-CoV-2/7n0h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7n0h,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.34,,,
7v7f,pdb/surface_glycoprotein/SARS-CoV-2/7v7f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7f,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7sbt,pdb/surface_glycoprotein/SARS-CoV-2/7sbt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7sbt,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.4,,,
7nx6,pdb/surface_glycoprotein/SARS-CoV-2/7nx6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7nx6,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.25,,0.2073,0.2484
7v7j,pdb/surface_glycoprotein/SARS-CoV-2/7v7j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7j,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7v7t,pdb/surface_glycoprotein/SARS-CoV-2/7v7t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7t,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7v7u,pdb/surface_glycoprotein/SARS-CoV-2/7v7u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7u,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7oau,pdb/surface_glycoprotein/SARS-CoV-2/7oau,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7oau,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1754,0.1992
7l7d,pdb/surface_glycoprotein/SARS-CoV-2/7l7d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7l7d,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.1846,0.231
7sbo,pdb/surface_glycoprotein/SARS-CoV-2/7sbo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7sbo,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.3,,,
7v79,pdb/surface_glycoprotein/SARS-CoV-2/7v79,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v79,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7lwm,pdb/surface_glycoprotein/SARS-CoV-2/7lwm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lwm,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.83,,,
7phg,pdb/surface_glycoprotein/SARS-CoV-2/7phg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7phg,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.3,,,
7sbr,pdb/surface_glycoprotein/SARS-CoV-2/7sbr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7sbr,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.3,,,
7n4i,pdb/surface_glycoprotein/SARS-CoV-2/7n4i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7n4i,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.28,,0.1999,0.2378
7ntc,pdb/surface_glycoprotein/SARS-CoV-2/7ntc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ntc,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7lyl,pdb/surface_glycoprotein/SARS-CoV-2/7lyl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lyl,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.72,,,
7ean,pdb/surface_glycoprotein/SARS-CoV-2/7ean,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ean,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.91,,0.1911,0.2239
7m7w,pdb/surface_glycoprotein/SARS-CoV-2/7m7w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7m7w,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.65,,0.2212,0.271
7m6f,pdb/surface_glycoprotein/SARS-CoV-2/7m6f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7m6f,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7soc,pdb/surface_glycoprotein/SARS-CoV-2/7soc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7soc,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7v7s,pdb/surface_glycoprotein/SARS-CoV-2/7v7s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7s,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7dx0,pdb/surface_glycoprotein/SARS-CoV-2/7dx0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dx0,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7lm8,pdb/surface_glycoprotein/SARS-CoV-2/7lm8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lm8,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.936,,0.1687,0.2007
7m6h,pdb/surface_glycoprotein/SARS-CoV-2/7m6h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7m6h,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.0,,,
7f4w,pdb/surface_glycoprotein/SARS-CoV-2/7f4w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7f4w,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.9,,0.2438,0.2982
7v7q,pdb/surface_glycoprotein/SARS-CoV-2/7v7q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7q,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
7v7d,pdb/surface_glycoprotein/SARS-CoV-2/7v7d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7d,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7lrs,pdb/surface_glycoprotein/SARS-CoV-2/7lrs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lrs,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.89,,,
7ral,pdb/surface_glycoprotein/SARS-CoV-2/7ral,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ral,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,?,,,
7b62,pdb/surface_glycoprotein/SARS-CoV-2/7b62,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7b62,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.82,,0.1639,0.1998
7ekh,pdb/surface_glycoprotein/SARS-CoV-2/7ekh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ekh,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.4,,0.2098,0.228
7vxa,pdb/surface_glycoprotein/SARS-CoV-2/7vxa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7vxa,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7lxw,pdb/surface_glycoprotein/SARS-CoV-2/7lxw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lxw,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
7dwx,pdb/surface_glycoprotein/SARS-CoV-2/7dwx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dwx,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,8.3,,,
7n1x,pdb/surface_glycoprotein/SARS-CoV-2/7n1x,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7n1x,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.0,,,
7r7n,pdb/surface_glycoprotein/SARS-CoV-2/7r7n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7r7n,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.95,,,
7n4l,pdb/surface_glycoprotein/SARS-CoV-2/7n4l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7n4l,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.43,,0.2623,0.3294
7v7g,pdb/surface_glycoprotein/SARS-CoV-2/7v7g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7g,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7v7n,pdb/surface_glycoprotein/SARS-CoV-2/7v7n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7n,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7e7x,pdb/surface_glycoprotein/SARS-CoV-2/7e7x,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7e7x,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.78,,0.2484,0.2789
7kqe,pdb/surface_glycoprotein/SARS-CoV-2/7kqe,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kqe,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.88,,,
7fdi,pdb/surface_glycoprotein/SARS-CoV-2/7fdi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7fdi,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.12,,,
7mfu,pdb/surface_glycoprotein/SARS-CoV-2/7mfu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7mfu,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1811,0.2149
7s4s,pdb/surface_glycoprotein/SARS-CoV-2/7s4s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7s4s,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.04,,0.1657,0.1979
7l2f,pdb/surface_glycoprotein/SARS-CoV-2/7l2f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7l2f,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7m42,pdb/surface_glycoprotein/SARS-CoV-2/7m42,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7m42,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7deo,pdb/surface_glycoprotein/SARS-CoV-2/7deo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7deo,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.1872,0.2321
7eu2,pdb/surface_glycoprotein/SARS-CoV-2/7eu2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7eu2,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.8,,0.2312,0.2662
7p78,pdb/surface_glycoprotein/SARS-CoV-2/7p78,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7p78,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.32,,,
7sbp,pdb/surface_glycoprotein/SARS-CoV-2/7sbp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7sbp,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7v81,pdb/surface_glycoprotein/SARS-CoV-2/7v81,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v81,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.2,,,
7vne,pdb/surface_glycoprotein/SARS-CoV-2/7vne,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7vne,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
7dx3,pdb/surface_glycoprotein/SARS-CoV-2/7dx3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dx3,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
7p7b,pdb/surface_glycoprotein/SARS-CoV-2/7p7b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7p7b,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.13,,,
7lwo,pdb/surface_glycoprotein/SARS-CoV-2/7lwo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7lwo,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.85,,,
7dk0,pdb/surface_glycoprotein/SARS-CoV-2/7dk0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dk0,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.199,,0.2183,0.2648
7s0b,pdb/surface_glycoprotein/SARS-CoV-2/7s0b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7s0b,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.9,,0.2146,0.2597
7p79,pdb/surface_glycoprotein/SARS-CoV-2/7p79,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7p79,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.0,,,
7eya,pdb/surface_glycoprotein/SARS-CoV-2/7eya,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7eya,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.77,,,
7vmu,pdb/surface_glycoprotein/SARS-CoV-2/7vmu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7vmu,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.89,,0.241,0.2729
7v7a,pdb/surface_glycoprotein/SARS-CoV-2/7v7a,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7v7a,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7orb,pdb/surface_glycoprotein/SARS-CoV-2/7orb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7orb,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.2128,0.2513
